Particulars,Voucher Type
PAPER SOAP,Pharma
BAJAJ ALMOND HAIR OIL (35ML),Pharma
IMODIUM 2MG (4 CAP),Pharma
GLYCOMET GP 1 FORTE (10 TAB),Pharma
HIGH TEARS E/D (10ML),Pharma
CALCIGEN D3 (4 TAB),Pharma
PROTAR OINT (50GM),Pharma
FIGARO OLIVE OIL (500ML),Pharma
EVION 400MG (20 CAP),Pharma
NICOTEX 4MG (12 TAB),Pharma
CLOPIVAS AP 75 (15 TAB),Pharma
ATORLIP 20MG (15 TAB),Pharma
DICLOWIN PLUS (10TAB),Pharma
CRESAR 20MG (15TAB),Pharma
TELBID MT 50MG (15 TAB),Pharma
OCID 20MG (20 CAP),Pharma
STEMETIL MD (15 TAB),Pharma
METROGYL 400MG (15 TAB),Pharma
AZICIP 500MG (3 TAB),Pharma
VICKS ACTION 500 (10 TAB),Pharma
MEFTAL SPAS (10 TAB),Pharma
RANTAC 150 MG (30 TAB),Pharma
TRAVATAN E/D (2.5ML),Pharma
DABUR PUDIN HARA (10 CAP),Pharma
GLUCO ONE BG-03 GLUCOSE STRIP (25N),Pharma
CROCIN ADVANCE 500MG (20TAB),Pharma
"PARACIP SYRUP 125MG (60ML, BLUE)",Pharma
CHERICOF JUNIOR COUGH SYRUP (60ML),Pharma
CILACAR 5MG (10 TAB),Pharma
VICKS COUGH DROPS,Pharma
AMOXYCLAV 625MG (10 TAB),Pharma
OKACET SYRUP (30ML),Pharma
WHISPER CHOICE ULTRA XL 6NOS,Pharma
WHISPER BINDAZ NIGHTS XXL+ 6 PCS,Pharma
CANDID TOTAL PLUS CREAM (20GM),Pharma
CLOBENATE GM (10GM),Pharma
ORTHODEX MR (10 TAB),Pharma
VISAB  POWDER (100GM),Pharma
DULCOFLEX 5MG (10 TAB),Pharma
SPINFREE (15 TAB),Pharma
(Closed) DENVER NANO BLACKCODE DEO 50ML,Pharma
GELUSIL (15 TAB),Pharma
(CLOSED) PANTOP D CAP,Pharma
VIGORE 100 MG TAB,Pharma
ALLEGRA NASAL SPRAY (6GM),Pharma
ITONE E/D (10ML),Pharma
DABUR HONITUS CANDY,Pharma
LULIFORD CREAM (20GM),Pharma
NIVEA ROLL ON (25ML),Pharma
ISTAMET 50/500 (15 TAB),Pharma
MELMET SR 500 (20 TAB),Pharma
TELMA 20MG (15 TAB),Pharma
MONTAIR FX (15 TAB),Pharma
AMLONG 2.5MG (15 TAB),Pharma
AVAS 20MG (30 TAB),Pharma
NICOTEX 4MG TIN PACK,Pharma
CROCIN LOZENGES (10TAB),Pharma
MANFORCE 1*3,Pharma
GLYCOMET SR 500 (20 TAB),Pharma
T-MUCE OINT (10GM),Pharma
FERICIP XT (10 TAB),Pharma
ADD TEARS E/D (10ML),Pharma
ZERODOL P (10 TAB),Pharma
ORS PROLYTE MIXED FRUIT (200ML),Pharma
ORS PROLYTE APPLE (200ML),Pharma
DETTOL HAND SANITIZER 50ml,Pharma
LAKME PEACH MILK MOISTURE CREAM (50GM),Pharma
NAIL CUTTER,Pharma
COLGATE KIDS PASTE 80/40GM,Pharma
ODOMOS FABRIC ROLLON,Pharma
NOVEGROW SOLUTION 5% (60ML),Pharma
LUPIZOL ZS SHAMPOO (100ML),Pharma
SOFY BODY FIT HYGENIE XL (6NOS),Pharma
LAKME PEACH MILK ULTRA LIGHT WEIGHT GEL 25GM,Pharma
GLUCONORM SR 500 (15 TAB),Pharma
PRIMOSA 1000MG (15 CAP),Pharma
VOLINI SPRAY (100GM),Pharma
CTD-MT 12.5/50/40 (10 TAB),Pharma
ROKO CAP (10 CAP),Pharma
ORS POWDER ORANGE,Pharma
CROCIN 650 (15TAB),Pharma
VENPRES 40MG (10 TAB),Pharma
PANTOSEC 40MG (10 TAB),Pharma
CTD T 6.25/40 (15 TAB),Pharma
NEUROBION FORTE RF INJECTION (2ML),Pharma
DISPOVAN SYRINGE 2 ML,Pharma
BETADINE GARGLE 2% (100ML),Pharma
RAZO 20MG (15 TAB),Pharma
CIPMOX 500MG (15CAP),Pharma
ENO SISHI 100 GM,Pharma
BRUFEN 400MG (15 TAB),Pharma
NEO MERCAZOLE 5MG (120 TAB),Pharma
ENFAMIL STAGE 3,Pharma
ALL OUT MACHINE,Pharma
BLUE HEAVEN  LIP BALM ( 2GM ),Pharma
ATARAX 10MG (15 TAB),Pharma
LISTERINE ORIGINAL M/W (80ML),Pharma
GILLETTE SHAVE BRUSH,Pharma
DABUR HONITUS COUGH SYRUP (100ML),Pharma
GARNIER MEN SHAMPOO COLOUR POUCH 20ML,Pharma
MOVEXX MR (10TAB),Pharma
NEUROBION FORTE (30 TAB ),Pharma
UVEDGE SUNSCREEN GEL SPF30 (100GM),Pharma
LIVON SERUM ( 20ML ),Pharma
ENVY POCKET DEO (18 ML),Pharma
MEDIKER SHAMPOO (50ML),Pharma
EVERYUTH NATURALS WALNUT SCRUB (100GM),Pharma
SAAZ (10 TAB),Pharma
CALCIROL GRANULE 1 GM,Pharma
ZERODOL TH 8 (10 TAB),Pharma
ORG IND MORINGA HIBISCUS,Pharma
GRILINCTUS COUGH SYRUP (100ML),Pharma
ALEX LOZENGES GINGER-LEMON,Pharma
LIMCEE 500MG (15TAB),Pharma
CELIN 500 (25 TAB),Pharma
RESMILE (10 TAB),Pharma
PG MORE 75MG (10 CAP),Pharma
ALL OUT REFIL,Pharma
NITROCONTIN 6.4MG (30 TAB),Pharma
THERMOSEAL FLOSS 50 METR,Pharma
DABUR BADAM ROGHAN OIL (50ML),Pharma
SINAREST (15 TAB),Pharma
MOOV CREAM (30GM),Pharma
HAJMOLA SHISHI REGULAR,Pharma
HIMALAYA APRICORT SCRUB (100GM),Pharma
MOOV SPRAY (35GM),Pharma
DABUR RED TOOTHPASTE (100GM),Pharma
MAXIFLO INHALER (250MCG),Pharma
METAFORT 500MG (15 TAB),Pharma
PONDS LIGHT MOISTURISER CREAM 98 GM,Pharma
DERMI COOL POWDER (150 GM),Pharma
GARNIER COLOR POUCH NO 3,Pharma
KAMASUTRA CONDOM 1*3,Pharma
RIFAGUT 550MG (10 TAB),Pharma
EVITOL (15 CAP),Pharma
LACTIFIBER POWDER (180GM),Pharma
NEWTEL 40MG (10 CAP),Pharma
NUCOXIA P (15 TAB),Pharma
OMNIGEL GEL (10GM),Pharma
CREPE BANDAGE 10CM (4 INCH.),Pharma
LYVELSA 10MG ( 14 TAB),Pharma
LUMIGAN 0.1 % E/D (3ML),Pharma
MANFORCE 50 TAB 9 NOS,Pharma
(CLOSED)DENVER NANO IMPERIAL DEO 50ML,Pharma
LIFEBUOY SOAP 75GM,Pharma
PARACHUTE OIL (25ML),Pharma
PAMPER PANTS M2,Pharma
ISOTINE E/D (10ML),Pharma
MULTANI KUKA COUGH LOZENGES,Pharma
ZELDINAC SP (10 TAB),Pharma
AUGMENTIN 375MG (10 TAB),Pharma
HANSAPLAST MICROPORE 0.5INCH,Pharma
CIPLOX D E/D (10ML),Pharma
DUOLIN 3 RESPULES (3ML),Pharma
CREPE BANDAGE 6CM (2 INCH.),Pharma
RB3699 001/51 59,Others
BE4293 377381 56,Others
JARDIANCE MET 12.5/1000 (10 TAB),Pharma
PRODEP 10MG (10 CAP),Pharma
BETACAP TR 20 (10 CAP),Pharma
MISS CARE NAIL PAINT REMOVER,Pharma
SKINSHINE SOAP (75GM),Pharma
GILLETTE GUARD MRP 25,Pharma
VANTEJ TOOTHPASTE (100GM),Pharma
VANTEJ TOOTHPASTE (50GM),Pharma
HIMALAYA LIP BALM,Pharma
DABUR AMLA JUICE 1 LTR,Pharma
NIVEA SOFT CREAM (50ML),Pharma
FIGARO OLIVE OIL (100ML),Pharma
RABESEC LS (10 CAP),Pharma
VOMIFORD 8 MD (10TAB),Pharma
CIPLOX E/D (10ML),Pharma
SOFY ANTIBACTERIA XL (7NOS),Pharma
BILYPSA 4MG (45 TAB),Pharma
GLYCOMET 500MG (10 TAB),Pharma
DR ORTHO OIL (100ML),Pharma
RING GUARD (20GM),Pharma
MAHAFLOX EYE OINTMENT (5GM),Pharma
RELIEF (10TAB),Pharma
TAVERA-M (10 TAB),Pharma
BAIDYANATH ASHWAGANDHARISHTA (450ML),Pharma
ETOFEX-120 MG (10 TAB),Pharma
WINCOLD -Z ( 10 TAB),Pharma
TARIFLOX,Pharma
FLUKA 150MG ( 1 TAB),Pharma
BRILINTA 90MG (14 TAB),Pharma
LIPVAS 40 MG  ( 10 TAB),Pharma
TAZLOC-H (10 TAB),Pharma
LAKME SUN EXPERT SPF 50 (18ML),Pharma
AIM 7 60XR (15 TAB),Pharma
SIZODON 1MG (10 TAB),Pharma
ELCEPHASE-1000 SR (10 TAB),Pharma
VALDIFF 50MG (15 TAB),Pharma
MANFORCE EPIC CONDOM 1*3,Pharma
DOLOMED MR (10 TAB),Pharma
PANTOSEC DSR (10CAP),Pharma
AFENAK PLUS NS (10 TAB),Pharma
SUALIN SACHET,Pharma
I KNOW PREGNANCY KIT,Pharma
HIMALAYA KOFLET CANDY,Pharma
HUGGIES WONDER PANTS M 34,Pharma
KETOROL DT (15 TAB),Pharma
ZYMAXID 0.5% E/D (2.5ML),Pharma
BUDECORT RESPULES (0.5MG),Pharma
LEVOLIN RESPULES (0.31MG),Pharma
IBUGESIC PLUS (20 TAB),Pharma
ALERID -D (10 TAB),Pharma
NASOCLEAR NASAL SPRAY (20ML),Pharma
TELVAS 40MG (15 TAB),Pharma
ALPHAGAN Z E/D (5ML),Pharma
VOLINI GEL (50GM),Pharma
SYSTANE COMPLETE E/D (10ML),Pharma
BETNOVATE N CREAM (25GM),Pharma
SOFRAMYCIN SKIN CREAM (30GM),Pharma
THYRONORM 100 MCG (120 TAB),Pharma
WHITE TONE FACE POWDER (50GM),Pharma
ETOSHINE 90MG (10 TAB),Pharma
URIMAX-D (15 TAB),Pharma
VITOMIN D3 DROPS (30ML),Pharma
PAMPER PANTS S7,Pharma
VOMIFORD 4MG (10TAB),Pharma
ENVY NANO BLAZE (30ML),Pharma
OTRIVIN OXY ADULT NASAL SPRAY (10ML),Pharma
MOOV CREAM (50GM),Pharma
B.D ALCOHOL SWAB,Pharma
RIFAGUT 400MG (10 TAB),Pharma
METROGYL M OINT (5GM),Pharma
ETOFORD P (10TAB),Pharma
GOOD KNIGHT AGGARBATTI,Pharma
REVITAL H (10CAP),Pharma
COMFORTZ E/D (10ML),Pharma
MAXIRICH (10 CAP),Pharma
GPM SR2 ( 10 TAB),Pharma
STREPSILS LOZENGES 1*8,Pharma
WINOLAP E/D (5ML),Pharma
ZINCOVIT (15 TAB),Pharma
TETMOSOL SOAP,Pharma
MEGAHEAL GEL (15GM),Pharma
SPASMONIL (10 TAB),Pharma
TELMA 40MG (15 TAB),Pharma
AMLONG A (15 TAB),Pharma
WHISPER CHOICE NIGHT XXL 6 NOS,Pharma
TOPAZ 50MG (15 TAB),Pharma
CALCAREA PHOSPHORICA 6X (RED),Pharma
NEOSPORIN OINT (10GM),Pharma
VOLINI SPRAY 40 GM,Pharma
CRESAR 40MG (15 TAB),Pharma
GLUCONORM G 1 (15 TAB),Pharma
AMLOMED AT (10TAB),Pharma
ETOFORD MR (10 TAB),Pharma
DEPNSAID NANO GEL (30GM),Pharma
WAXRID OLIV  EAR DROPS (10ML),Pharma
REACTIN 100 SR (10TAB),Pharma
MOOV CREAM (10GM),Pharma
ATORLIP F (15 TAB),Pharma
AZICIP 250MG (6 TAB),Pharma
MONTAIR LC (15 TAB),Pharma
WIKORYL 10MG (10 TAB),Pharma
B.D. PEN NEEDLE,Pharma
WHISPER ULTRA HYGIENE XL+ 15 PCS,Pharma
MONTECIP FX (10TAB),Pharma
ORBIT BOTTLE,Pharma
HAJMOLA SHISHI PUDINA,Pharma
FAIR&HANDSOME RADIANCE CREAM 30GM,Pharma
CIPLADINE OINT (10GM),Pharma
FLEXON MR (10 TAB),Pharma
FACECLIN AT GEL (20GM),Pharma
MIGRAFEN (10TAB),Pharma
I KUL E/D,Pharma
SIMCO HAIR FIXER FOR MOUSTACHES 10GM,Pharma
SENSODYNE BRUSH 65,Pharma
DENVER BLACK CODE COLOGNE TALC 100gm,Pharma
NUTROLIN B PLUS (15 TAB),Pharma
PONDS DETAN F/W (100GM),Pharma
(CLOSED) COLGATE GENTLE CLEAN BRUSH RS 30,Pharma
HIMALAYA SEPTILIN (60 TAB),Pharma
HIMALAYA ASHVAGANDHA (60 TAB),Pharma
CLOP CREAM 30 GM,Pharma
AZEE 500MG (5 TAB),Pharma
CCM (40 TAB),Pharma
OROFER XT (15 TAB),Pharma
TUSQ DX COUGH SYRUP (100ML),Pharma
SAT ISABGOL TEL. SACHET 5GM,Pharma
MEDISALIC OINT (20GM),Pharma
HIMALAYA NATURAL GLOW ROSE F/W (100ML),Pharma
CORN CAP,Pharma
EPTUS 25MG (15TAB),Pharma
DYTOR 5MG (15 TAB),Pharma
CERELAC NO10 WHEAT RICE MIXED FRUIT,Pharma
KZ SOAP (75GM),Pharma
SUMO (15 TAB),Pharma
URIMAX 0.4MG (20 CAP),Pharma
NEXPRO FAST 40  (10 CAP),Pharma
NEXPRO 40MG (15 TAB),Pharma
Boston Simplus Lens Solution 105ml,Pharma
DICALIS (10 TAB),Pharma
GODREJ CREME N.BROWN NO 4,Pharma
HAIR DYE BRUSH,Pharma
ONDERO MET 2.5/1000 (10 TAB),Pharma
MYTICOM E/D (5 ML),Pharma
NEVANAC E/D (5ML),Pharma
MORISONS ANTI-COLIC NIPPLE (M),Pharma
PREGA NEWS TEST STRIP 1 NOS,Pharma
VICKS VAPORUB (5ML),Pharma
BOROPLUS CREAM  (6ML),Pharma
MANFORCE 1*10,Pharma
TELMA H (15 TAB),Pharma
METOLAR XR 25 (15 CAP),Pharma
MOYZEN MOISTURIZING CREAM (100GM),Pharma
NUCOXIA MR 8 (10 TAB),Pharma
ENO LEM 6*30GM PACK,Pharma
DETTOL ANTISEPTIC LIQUID (125ML),Pharma
CIPLADINE OINT (20GM),Pharma
BENADRYL COUGH SYRUP (150ML),Pharma
ORDENT (10 TAB),Pharma
PAMPER PANTS M1,Pharma
AMLOPRES 10MG (10 TAB),Pharma
GLYCIPHAGE SR 500 (10 TAB),Pharma
OLD SPICE POCKET DEO 17ML,Pharma
MEFTAL FORTE (10 TAB),Pharma
SIMCO CLASSIC HAIR FIXER 100GM (PINK),Pharma
ROSEUP HD (14 CAP),Pharma
ECOSPRIN GOLD 40 (15 CAP),Pharma
SHELCAL 500MG (15 TAB),Pharma
DYTOR 20MG (15 TAB),Pharma
PANTOP 40MG (15 TAB),Pharma
TELMA BETA 25 (10 TAB),Pharma
FURR CHARCOAL NOSE STRIPS 3NOS,Pharma
"PARACIP SYRUP 250MG (60ML, RED)",Pharma
NORFLOX TZ (10 TAB),Pharma
MUCAINE GEL MINT SYRUP (200ML),Pharma
GLOW & LOVELY INSTANT GLOW  F/W 100GM,Pharma
VICCO TURMERIC CREAM 70GM,Pharma
VICCO TURMERIC 50 GM,Pharma
EASIBREATH SOFTGEL (10CAP),Pharma
FOURTS B DROPS (15ML),Pharma
LOTEL LS GEL (5ML),Pharma
DABUR ALOE VERA JUICE 1ltr,Pharma
PAN 40MG (15 TAB),Pharma
NUCOXIA MR (10 TAB),Pharma
DETTOL ANTISEPTIC LIQUID (60ML),Pharma
VONEURO (10 TAB),Pharma
NERVITE XT (10 TAB),Pharma
TELSAR CH 40/12.5 (10 TAB),Pharma
MECOFORT G (10 TAB),Pharma
URBAN YOG HAIR REMOVAL SPRAY 200ML,Pharma
DIGEPLEX SYRUP (200ML),Pharma
EMESET 8MG (10 TAB),Pharma
OCUVIR EYE OINTMENT (5GM),Pharma
WYSOLONE DT 20 (15 TAB),Pharma
VITAFOL (30 TAB),Pharma
LAKME CC CREAM (30GM),Pharma
PAMPER PANTS S15,Pharma
DAPANORM TRIO (10 TAB),Pharma
FAA 20 (15 TAB),Pharma
NORMOZ (10 TAB),Pharma
WHISPER ULTRA HYGIENE XL+ 30NOS,Pharma
HANSAPLAST MICROPORE 5CM (2INCH),Pharma
BECADEXAMIN (30 CAP),Pharma
OPTIVE E/D (10ML),Pharma
ODONIL LAVENDER MIST SPRAY,Pharma
ODONIL JASMINE FRESH SPRAY,Pharma
ODONIL ROSE GARDEN SPRAY,Pharma
ODONIL CITRUS FRESH SPRAY,Pharma
ODONIL FLORAL BLISS SPRAY,Pharma
ITROMED 100MG (10 CAP),Pharma
MEDLER (10 TAB),Pharma
PILPAN-40,Pharma
VINICOR XL 25 (10 TAB),Pharma
VENPRES 40 H (10 TAB),Pharma
CIPLAR 10MG (15 TAB),Pharma
HIMALAYA LIV 52 SYRUP (200ML),Pharma
AMLONG MT 25MG (15 TAB),Pharma
ZERODOL SP (10 TAB),Pharma
DUREX CON XTHN 1*10,Pharma
MULTANI KUKA (50 TAB),Pharma
WHISPER BINDAZ NIGHTS XL+ 7PCS,Pharma
EARWEL EAR DROPS (5ML),Pharma
SALBAIR-I TRANSHALER,Pharma
NITROCONTIN 2.6MG (30 TAB),Pharma
NOVACLOX LB (10 CAP),Pharma
COFSILS MIX LOZENGES 10 NOS,Pharma
COTARYL CREAM (75GM),Pharma
TELISTA 20MG (15 TAB),Pharma
GLUCOSE D 125GM,Pharma
ELECTRAL POWDER 21.8 GM,Pharma
TELWAKE 40MG (15 TAB),Pharma
HYDROGEN PEROXIDE (100ML),Pharma
PEPFIZ TAB 2 TAB,Pharma
CYCLOPAM (10 TAB),Pharma
SOFTDROPS E/D (10ML),Pharma
DILNIP T 40 (15 TAB),Pharma
TOPFENAC OIL 50 ML,Pharma
GLIMY M 1 FORTE (10 TAB),Pharma
VOMISTOP 10 MG TAB,Pharma
LUPIDIUM (10 TAB),Pharma
EYE MANTRA E/D (10ML),Pharma
STERILE GAUZE SWAB 5CM,Pharma
ROSUVA GOLD 20 (10 CAP),Pharma
LIVON SERUM ( 45ML/50ML),Pharma
AMLIP 5MG ( 10 TAB),Pharma
ISTAMET G IR 50/1000/1 (10 TAB),Pharma
ALLEGRA M (10 TAB),Pharma
VOLINI GEL (15GM),Pharma
RAMIPRES 5MG (10 TAB),Pharma
ACNE-UV GEL SPF50 (50GM),Pharma
AUGMENTINE DUO 625MG (10 TAB),Pharma
ZIGLIM PLUS 2 (10 TAB),Pharma
S NUMLO 2.5 (15 TAB),Pharma
URILOSIN 0.4 (15 CAP),Pharma
AZULIX 2 MF FORTE (15 TAB),Pharma
SR PEVESCA PLUS 75 (10 TAB),Pharma
MOVNWAK CAP 10N,Pharma
HILIN ACE (10 TAB),Pharma
OLEPTAL OD 450MG (10 TAB),Pharma
LISTERINE FRESHBURST M/W (80ML),Pharma
GREEN LEAF ALOEVERA GEL 120GM,Pharma
EVERYUTH ALOE VERA CUCUMBER GEL (150GM),Pharma
EVERYUTH NAT WALNUT APRICOT SCRUB 50GM,Pharma
NORLUT-N TAB,Pharma
DOXYPEN 100MG (10 CAP),Pharma
ETOFORD 120MG (10 TAB),Pharma
GLIMISAVE M 2 (15 TAB),Pharma
BABYHUG MOSQUITO BODY ROLL-ON 40 ML,Pharma
OKACET L ( 10 TAB),Pharma
SF DRY MAX ALLNIGHT ULTRA XXL 28NOS,Pharma
DABUR ASHWAGANDHARISHTA 450 ML,Pharma
ARACHITOL D3 NANO SHOTS 4*5 ML,Pharma
ULTRA D3 SYRUP (100ML),Pharma
AMMY SANITARY PAD XXL 6NOS,Pharma
DIGENE ASSORTED (15 TAB),Pharma
VIZYLAC RICH (10 CAP),Pharma
OPHTHA CARE E/D  (10ML),Pharma
DEPURA VIT D3 SHOTS 1*4,Pharma
FLARE HEATING PAD 101,Pharma
BLISTO 2 MF (10 TAB),Pharma
TEXIFEN 250MG (7 TAB),Pharma
ORAL B BRUSH 20RS,Pharma
ALPHAGAN P E/D (5ML),Pharma
FLUTIVATE SKIN CREAM (20GM),Pharma
REVITAL H  WOMAN (10 CAP),Pharma
CREMAGEL GEL (30GM),Pharma
CANDID MOUTH PAINT (25ML),Pharma
DYDROGEST-ER 20MG (10 TAB),Pharma
SF ADV ALL NIGHT ULTRA COMFORT XL 7PC,Pharma
RAMISTAR M XL 50 (10 TAB),Pharma
IODEX (16GM),Pharma
GIBTULIO MET 12.5/500MG (10 TAB),Pharma
CHICCO TOOTH BRUSH 6-36 MONTHS,Pharma
CHICCO PASTE 12MN TO 6YRS,Pharma
VASOGRAIN (14 TAB),Pharma
HIMALAYA NEEM FACIAL WET WIPES 25NOS,Pharma
SENSODYNE BRUSH MRP 80,Pharma
CANDID CREAM (30GM),Pharma
SF SECURE COTTONY XL WITH WINGS 12NOS,Pharma
NICOTEX 2MG (12 TAB),Pharma
GELUSIL SYRUP (200ML) SF,Pharma
METSMALL 500MG (30TAB),Pharma
NASOPIL ADULT NASAL DROPS (10ML),Pharma
ENO CHEWY BITES,Pharma
HANSAPLAST ROUND BAND AID,Pharma
VASELINE COCOA GLOW 90ML,Pharma
LARIAGO (10 TAB),Pharma
TELPIL - A (10 TAB),Pharma
HIFENAC P (15 TAB),Pharma
MONDESLOR (10 TAB),Pharma
LIPTON TEA,Pharma
ETOSHINE 120MG (10 TAB),Pharma
MINOLAST FX (10TAB),Pharma
NO SCARS CREAM,Pharma
GARNIER BRIGHT COMPLETE VITAMIN C F/W 50GM,Pharma
VASELINE BODY LOTION  20 ML,Pharma
NASIVION CLASSIC ADULT NASAL SPRAY (10ML),Pharma
OSTEOVIN PLUS (15 TAB),Pharma
SF SECURE COTTONY REGULAR 18NOS,Pharma
PEDIASURE CHOCO POWDER 200GM,Pharma
OSTOCALCIUM SUSPENSION (200ML),Pharma
SCALPE PLUS SHAMPOO (75ML),Pharma
HIFENAC-SP (10 TAB),Pharma
MEDISPIRIT (100ML),Pharma
ANOVATE CREAM (20GM),Pharma
SACUVAL 50MG (10 TAB),Pharma
WINOLAP MAX E/D (2.5ML),Pharma
OSIL CREAM (30GM),Pharma
HIMALAYA BABY CREAM (50ML),Pharma
OLMIWAKE TRIO (10 TAB),Pharma
ROITHIN 10MG (10 TAB),Pharma
FLUTIVATE SKIN OINT (20GM),Pharma
HIT BLACK LIME 400ML,Pharma
GARNIER BRIGHT COMPLETE VITAMIN C F/W 100 GM,Pharma
BILASURE 20MG (10 TAB),Pharma
HIMALAYA ORO-T LIQUID (100ML),Pharma
WHISPER BINDAZ NIGHTS PERIOD PANTY + 6,Pharma
HIMALAYA TAN REMOVAL F/W (100ML),Pharma
TECZINE 10MG (15 TAB),Pharma
BETAMIL GM CREAM (30GM),Pharma
ROSUMAC GOLD 20 (10 CAP),Pharma
ZANDU BALM (25ML),Pharma
TELMA CT 40/12.5 (15 TAB),Pharma
MINIPRESS XL 5MG (30 TAB),Pharma
PAMPER PANTS XL7,Pharma
BURNOL CREAM (25GM),Pharma
GLIZID MR 30 (10 TAB),Pharma
GLIZID MR 60MG (10 TAB),Pharma
VIZYLAC (15 CAP),Pharma
CYRA D (10 TAB),Pharma
CANESTEN CREAM (30GM),Pharma
DALACIN C 300MG (10 CAP),Pharma
NUCOXIA 120MG (10 TAB),Pharma
LIPVAS 20 MG( 10 TAB),Pharma
DILPRA OD 750 (10 TAB),Pharma
HIMALAYA LIV 52 DS (60 TAB),Pharma
